x,next,prev,y,line,postal,name,prefecture
139.776714,日暮里,null,35.713701,JR常磐線快速,1100005,上野,東京都
139.771191,三河島,上野,35.727988,JR常磐線快速,1160013,日暮里,東京都
139.777285,南千住,日暮里,35.733352,JR常磐線快速,1160013,三河島,東京都
139.799806,北千住,三河島,35.734649,JR常磐線快速,1160003,南千住,東京都
139.804638,松戸,南千住,35.748844,JR常磐線快速,1200026,北千住,東京都
139.900828,柏,北千住,35.784732,JR常磐線快速,2710092,松戸,千葉県
139.971025,我孫子,松戸,35.86219,JR常磐線快速,2770005,柏,千葉県
140.010473,天王台,柏,35.872829,JR常磐線快速,2701151,我孫子,千葉県
140.04232,取手,我孫子,35.872465,JR常磐線快速,2701176,天王台,千葉県
140.062822,null,天王台,35.895298,JR常磐線快速,3020014,取手,茨城県
