name,color,heartrails_key,goo_key,loop,subway,ignore,notes
東武鬼怒川線,#FFA500,東武鬼怒川線,東武鬼怒川線,,,1,
東武野田線,#33CCCC,東武野田線,東武野田線,,,,
東武東上本線,#000099,東武東上本線,東武東上線,,,,
東武越生線,#000099,東武越生線,東武越生線,,,,越生線（おごせせん）
東武佐野線,#FF0000,東武佐野線,東武佐野線,,,1,
東武小泉線,#FF0000,東武小泉線,東武小泉線,,,1,
東武桐生線,#FF0000,東武桐生線,東武桐生線,,,1,
西武池袋線,#EE7900,西武池袋線,西武池袋線,,,,
西武狭山線,#EE7900,西武狭山線,西武狭山線,,,,
西武秩父線,#EE7900,西武秩父線,西武秩父線,,,,
西武豊島線,#EE7900,西武豊島線,西武豊島線,,,,
西武有楽町線,#A47DB5,西武有楽町線,西武有楽町線,,,,
西武新宿線,#00A4BD,西武新宿線,西武新宿線,,,,
西武拝島線,#00A4BD,西武拝島線,西武拝島線,,,,
西武西武園線,#00A4BD,西武西武園線,西武西武園線,,,,
西武多摩湖線,#EE7900,西武多摩湖線,西武多摩湖線,,,,
西武国分寺線,#19AA4A,西武国分寺線,西武国分寺線,,,,
西武山口線,#E7382C,西武山口線,西武山口線,,,,
西武多摩川線,#EE7900,西武多摩川線,西武多摩川線,,,,
小田急小田原線,#137BBE,小田急小田原線,小田急小田原線,,,,
小田急多摩線,#137BBE,小田急多摩線,小田急多摩線,,,,
小田急江ノ島線,#137BBE,小田急江ノ島線,小田急江ノ島線,,,,
相鉄本線,#F08422,相模鉄道本線,相鉄本線,,,,
相鉄いずみ野線,#F08422,相模鉄道いずみ野線,相鉄いずみ野線,,,,
関東鉄道常総線,#0066FF,関東鉄道常総線,関東鉄道常総線,,,,
関東鉄道竜ヶ崎線,#FF6600,関東鉄道竜ヶ崎線,関東鉄道竜ヶ崎線,,,,
つくばエクスプレス,#000084,つくばエクスプレス線,つくばエクスプレス,,,,
北総線,#4A7BD6,北総鉄道,北総線,,,,
東葉高速鉄道,#3FB036,東葉高速鉄道,東葉高速線,,,,
埼玉高速鉄道,#3565AD,埼玉高速鉄道,埼玉高速鉄道線,,,,
芝山鉄道線,#00A650,芝山鉄道線,芝山鉄道,,,,
流山電鉄線,#63B129,流鉄流山線,流山電鉄線,,,,
秩父鉄道,#B80B40,秩父本線,秩父鉄道,,,,
江ノ島電鉄線,#2AB600,江ノ島電鉄線,江ノ島電鉄線,,,,
伊豆急行線,#5295B9,伊豆急行線,伊豆急行線,,,1,
箱根登山鉄道,#F04A00,箱根登山鉄道,箱根登山線,,,1,
ゆりかもめ,#27404E,新交通ゆりかもめ,ゆりかもめ線,,,,
りんかい線,#00418E,東京りんかい線,りんかい線,,,,
ニューシャトル,#FFFF00,埼玉新都市交通伊奈線,ニューシャトル,,,,
ユーカリが丘線,#2F9D66,山万ユーカリが丘線,ユーカリが丘線,,,,
金沢シーサイドライン,#F5A100,横浜新都市交通,金沢シーサイドライン,,,,
千葉都市モノレール1号線,#3B39CE,千葉都市モノレール1号線,千葉都市モノレール1号線,,,,
千葉都市モノレール2号線,#3B39CE,千葉都市モノレール2号線,千葉都市モノレール2号線,,,,
多摩都市モノレール,#25A12E,多摩モノレール,多摩都市モノレール線,,,,
湘南モノレール,#2877DE,湘南モノレール,湘南モノレール線,,,,
